"","Species","dataset","Metric","n","mean","sd","se","N"
"1","VE303-01","BA","auc",10,0.393115942028985,0.0911095614132479,0.0288113730684853,"47(24/23)"
"2","VE303-01","Cytokines","auc",10,0.42654958677686,0.024087213267897,0.00761704564127821,"44(22/22)"
"3","VE303-01","Mic_Class","auc",10,0.459886363636364,0.0170332447852872,0.00538638494646931,"42(20/22)"
"4","VE303-01","Mic_Genus","auc",10,0.427386363636364,0.0412042174350546,0.0130299176299594,"42(20/22)"
"5","VE303-01","Mic_Order","auc",10,0.421136363636364,0.0525333861223881,0.0166125153347827,"42(20/22)"
"6","VE303-01","Mic_Species","auc",10,0.370340909090909,0.0458832372947513,0.0145095536273397,"42(20/22)"
"7","VE303-01","SCFA","auc",10,0.459982638888889,0.0305823143650824,0.00967097695129465,"48(24/24)"
"8","VE303-01","Vancomycin","auc",10,0.846666666666666,0.0017568209223159,0.000555555555555598,"22(12/10)"
"9","VE303-02","BA","auc",10,0.659722222222222,0.0109791224417051,0.00347190336256573,"47(11/36)"
"10","VE303-02","Cytokines","auc",10,0.526470588235294,0.0354910085488196,0.0112232423470777,"44(10/34)"
"11","VE303-02","Mic_Class","auc",10,0.5153125,0.0338645817312621,0.0107089210279716,"42(10/32)"
"12","VE303-02","Mic_Genus","auc",10,0.57984375,0.0271977750379308,0.00860069164087336,"42(10/32)"
"13","VE303-02","Mic_Order","auc",10,0.48671875,0.0299309281524888,0.009464990544472,"42(10/32)"
"14","VE303-02","Mic_Species","auc",10,0.540625,0.0273027967126691,0.00863390241045921,"42(10/32)"
"15","VE303-02","SCFA","auc",10,0.808353808353808,0.0204258213158719,0.00645921184377727,"48(11/37)"
"16","VE303-02","Vancomycin","auc",10,0.757142857142857,0.00501948834947383,0.00158730158730166,"22(7/15)"
"17","VE303-03","BA","auc",10,0.554041353383459,0.0490450840615175,0.0155094173668817,"47(19/28)"
"18","VE303-03","Cytokines","auc",10,0.718518518518519,0.0103622710133549,0.00327683781341425,"44(17/27)"
"19","VE303-03","Mic_Class","auc",10,0.594705882352941,0.023439370199637,0.00741217967507286,"42(17/25)"
"20","VE303-03","Mic_Genus","auc",10,0.598,0.0651076061951867,0.0205888328578079,"42(17/25)"
"21","VE303-03","Mic_Order","auc",10,0.660235294117647,0.0217199681521888,0.00686845700672353,"42(17/25)"
"22","VE303-03","Mic_Species","auc",10,0.510823529411765,0.0497863177163868,0.0157438160296575,"42(17/25)"
"23","VE303-03","SCFA","auc",10,0.579219600725953,0.0358003083665447,0.0113210515374663,"48(19/29)"
"24","VE303-03","Vancomycin","auc",10,0.796428571428571,0.0131761569173682,0.00416666666666665,"22(8/14)"
"25","VE303-04","BA","auc",10,0.440579710144928,0.0496514902568434,0.0157011798433284,"47(24/23)"
"26","VE303-04","Cytokines","auc",10,0.582919254658385,0.0538511266964183,0.017029221492698,"44(23/21)"
"27","VE303-04","Mic_Class","auc",10,0.312244897959184,0.0323265144940591,0.0102225414615672,"42(21/21)"
"28","VE303-04","Mic_Genus","auc",10,0.679251700680272,0.0292471593209905,0.00924876385441536,"42(21/21)"
"29","VE303-04","Mic_Order","auc",10,0.449546485260771,0.055046100710047,0.017407105455476,"42(21/21)"
"30","VE303-04","Mic_Species","auc",10,0.769387755102041,0.0293483182723314,0.0092807531236105,"42(21/21)"
"31","VE303-04","SCFA","auc",10,0.397395833333333,0.012206396266921,0.0038600014226047,"48(24/24)"
"32","VE303-04","Vancomycin","auc",10,0.529583333333333,0.0269637674127046,0.00852669193231718,"22(12/10)"
"33","VE303-05","BA","auc",10,0.514492753623188,0.0583831340414167,0.0184623680509788,"47(23/24)"
"34","VE303-05","Cytokines","auc",10,0.385640495867769,0.0690253940513446,0.0218277461592886,"44(22/22)"
"35","VE303-05","Mic_Class","auc",10,0.5140589569161,0.0612506126441492,0.019369144403622,"42(21/21)"
"36","VE303-05","Mic_Genus","auc",10,0.547392290249433,0.0558844343775265,0.0176722098383198,"42(21/21)"
"37","VE303-05","Mic_Order","auc",10,0.491723356009071,0.0429977856018029,0.0135970936845291,"42(21/21)"
"38","VE303-05","Mic_Species","auc",10,0.528911564625851,0.0612553928521866,0.0193706560381307,"42(21/21)"
"39","VE303-05","SCFA","auc",10,0.587739130434783,0.0196009335837225,0.00619835943902497,"48(23/25)"
"40","VE303-05","Vancomycin","auc",10,0.80875,0.0202654071855233,0.0064084844416996,"22(12/10)"
"41","VE303-07","BA","auc",10,0.475727272727273,0.0240944346572166,0.00761932924509028,"47(25/22)"
"42","VE303-07","Cytokines","auc",10,0.56583850931677,0.0562429345565049,0.0177855775490348,"44(23/21)"
"43","VE303-07","Mic_Class","auc",10,0.526201372997712,0.0353826772702569,0.0111889849888681,"42(23/19)"
"44","VE303-07","Mic_Genus","auc",10,0.46487414187643,0.0284181598294912,0.00898661119718945,"42(23/19)"
"45","VE303-07","Mic_Order","auc",10,0.481807780320366,0.0314151428030816,0.00993434042771845,"42(23/19)"
"46","VE303-07","Mic_Species","auc",10,0.517620137299771,0.0312189058242351,0.00987228484628791,"42(23/19)"
"47","VE303-07","SCFA","auc",10,0.519913043478261,0.0148277231448728,0.00468893776521929,"48(25/23)"
"48","VE303-07","Vancomycin","auc",10,0.803333333333333,0.0112491426285091,0.00355729124301822,"22(10/12)"
"49","VE303-08","BA","auc",10,0.569348659003831,0.0224237060234473,0.00709099846161306,"47(18/29)"
"50","VE303-08","Cytokines","auc",10,0.771459694989107,0.0209082232923924,0.00661176074313446,"44(17/27)"
"51","VE303-08","Mic_Class","auc",10,0.401322115384615,0.0202666550742288,0.00640887905875717,"42(16/26)"
"52","VE303-08","Mic_Genus","auc",10,0.507572115384615,0.0374553293136294,0.011844415114274,"42(16/26)"
"53","VE303-08","Mic_Order","auc",10,0.447115384615385,0.0574469497722272,0.0181663205909529,"42(16/26)"
"54","VE303-08","Mic_Species","auc",10,0.524399038461539,0.0533501328112804,0.0168707933156128,"42(16/26)"
"55","VE303-08","SCFA","auc",10,0.385092592592592,0.0181991493827697,0.00575507635271996,"48(18/30)"
"56","VE303-08","Vancomycin","auc",10,0.817916666666667,0.0124303615751471,0.0039308254716903,"22(10/12)"
