,Time,dataset,Metric,n,mean,sd,se,N
1,Day 1,BA,auc,100,0.575243902,0.065740604,0.00657406,55(14/41)
2,Day 1,Calprotectin,auc,100,0.517672065,0.076292871,0.007629287,51(13/38)
3,Day 1,Mic_Class,auc,100,0.581883629,0.07060222,0.007060222,52(13/39)
4,Day 1,Mic_Genus,auc,100,0.60938856,0.080578164,0.008057816,52(13/39)
5,Day 1,Mic_Order,auc,100,0.58800789,0.083402475,0.008340247,52(13/39)
6,Day 1,Mic_Species,auc,100,0.47683432,0.067896447,0.006789645,52(13/39)
7,Day 1,SCFA,auc,100,0.677552265,0.050008497,0.00500085,55(14/41)
8,Day 1,Vancomycin,auc,100,0.497947154,0.09248582,0.009248582,53(12/41)
9,Day 14,BA,auc,100,0.371183673,0.126245441,0.012624544,42(7/35)
10,Day 14,Calprotectin,auc,100,0.410595238,0.112229159,0.011222916,37(7/30)
11,Day 14,Cytokines,auc,100,0.58437788,0.100632709,0.010063271,38(7/31)
12,Day 14,Mic_Class,auc,100,0.603346939,0.087592443,0.008759244,42(7/35)
13,Day 14,Mic_Genus,auc,100,0.612306122,0.117826748,0.011782675,42(7/35)
14,Day 14,Mic_Order,auc,100,0.587367347,0.098075798,0.00980758,42(7/35)
15,Day 14,Mic_Species,auc,100,0.620285714,0.079908519,0.007990852,42(7/35)
16,Day 14,SCFA,auc,100,0.46544898,0.102819644,0.010281964,42(7/35)
17,Day 7,BA,auc,100,0.476762821,0.090769535,0.009076954,51(12/39)
18,Day 7,Mic_Class,auc,100,0.478344298,0.078179315,0.007817932,50(12/38)
19,Day 7,Mic_Genus,auc,100,0.450285088,0.07447751,0.007447751,50(12/38)
20,Day 7,Mic_Order,auc,100,0.493892544,0.078908787,0.007890879,50(12/38)
21,Day 7,Mic_Species,auc,100,0.450307018,0.073844206,0.007384421,50(12/38)
22,Day 7,SCFA,auc,100,0.642532051,0.070105665,0.007010566,51(12/39)
23,Day 7,Vancomycin,auc,100,0.533643162,0.079337227,0.007933723,51(12/39)
24,Screening,BA,auc,100,0.543423423,0.067797014,0.006779701,49(12/37)
25,Screening,Cytokines,auc,100,0.578528646,0.055134636,0.005513464,44(12/32)
26,Screening,Mic_Class,auc,100,0.644958678,0.08350328,0.008350328,44(11/33)
27,Screening,Mic_Genus,auc,100,0.66768595,0.072460519,0.007246052,44(11/33)
28,Screening,Mic_Order,auc,100,0.586349862,0.084249633,0.008424963,44(11/33)
29,Screening,Mic_Species,auc,100,0.635454545,0.077362782,0.007736278,44(11/33)
30,Screening,SCFA,auc,100,0.638026316,0.07146078,0.007146078,50(12/38)
